The following are the nodes in the knowledge graph:
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:0, Labels: Executive, Name: Mr. Kazunari  Yamaguchi
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:127, Labels: Executive, Name: Mr. Sitaram  Kandi
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:128, Labels: Executive, Name: Mr. R.  Ramakrishnan
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:129, Labels: Company, Name: Tata Steel Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:130, Labels: Executive, Name: Mr. Thachat Viswanath Narendran
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:131, Labels: Executive, Name: Mr. Koushik  Chatterjee B.Com. (Hons), F.C.A.
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:132, Labels: Executive, Name: Mr. Parvatheesam  Kanchinadham
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:133, Labels: Executive, Name: Hriday  Nair
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:134, Labels: Executive, Name: Mr. Subodh  Pandey
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:135, Labels: Executive, Name: Mr. Jayanta  Banerjee
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:136, Labels: Executive, Name: Mr. Ritu Raj Sinha
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:137, Labels: Executive, Name: Sarvesh  Kumar
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:138, Labels: Executive, Name: Siddharth  Mishra
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:139, Labels: Executive, Name: Ms. Atrayee Sarkar Sanyal
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:140, Labels: Company, Name: Tata Consultancy Services Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:141, Labels: Executive, Name: Mr. K.  Krithivasan B.E, M.Tech.
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:142, Labels: Executive, Name: Mr. Samir  Seksaria
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:143, Labels: Executive, Name: Dr. Harrick  Vin
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:144, Labels: Executive, Name: Ms. Sukanya  Sadasivan B.E
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:145, Labels: Executive, Name: Mr. Kedar  Shirali
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:146, Labels: Executive, Name: Mr. Madhav  Anchan
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:147, Labels: Executive, Name: Mr. Yashaswin  Sheth
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:148, Labels: Executive, Name: Mr. Vivek  Padiyar
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:149, Labels: Executive, Name: Abhinav  Kumar
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:150, Labels: Executive, Name: Mr. Milind  Lakkad M.Tech.
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:151, Labels: Company, Name: Tech Mahindra Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:152, Labels: Executive, Name: Mr. Mohit  Joshi
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:153, Labels: Executive, Name: Mr. Rohit  Anand
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:154, Labels: Executive, Name: Mr. Atul  Soneja
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:155, Labels: Executive, Name: Ms. Pallavi  Katiyar
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:156, Labels: Executive, Name: Kaustubh  Vaidya C.F.A.
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:157, Labels: Executive, Name: Ms. Ruchie  Khanna
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:158, Labels: Executive, Name: Abhilasha  Gupta
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:159, Labels: Executive, Name: Mr. Peeyush  Dubey
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:160, Labels: Executive, Name: Mr. Richard  Lobo
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:161, Labels: Executive, Name: Mr. Marcus  Schüler
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:162, Labels: Risk, Name: N/A
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:163, Labels: Company, Name: Titan Company Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:164, Labels: Executive, Name: Mr. Coimbatore Krishnamurthy Venkataraman B.Sc., PGDM
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:165, Labels: Executive, Name: Mr. Ashok Kumar Sonthalia A.C.A., B.Sc.
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:166, Labels: Executive, Name: Mr. Ravi  Kuppuraj
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:167, Labels: Executive, Name: Mr. Krishnan  Venkateswaran
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:168, Labels: Executive, Name: Mr. Dinesh Shivanna Shetty
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:169, Labels: Executive, Name: Mr. Swadesh Kumar Behera
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:170, Labels: Executive, Name: Mr. Ajoy  Chawla B.E., PGDM
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:171, Labels: Executive, Name: Mr. Arun  Narayan
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:172, Labels: Executive, Name: Ms. Revathi  Kant
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:173, Labels: Executive, Name: Ms. Suparna  Mitra
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:174, Labels: Company, Name: Trent Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:175, Labels: Executive, Name: Mr. Venkatesalu  Palaniswamy
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:176, Labels: Executive, Name: Mr. Neeraj  Basur ACA, ACS, M.Com
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:177, Labels: Executive, Name: Mr. P. K. Anand
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:178, Labels: Executive, Name: Mr. S. W. Kamat
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:179, Labels: Executive, Name: Ms. Krupa Ketan Anandpara
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:180, Labels: Executive, Name: Mr. Manish  Kumar B.Sc., M.S.J.R., M.Sc., P.G.D.P.
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:181, Labels: Executive, Name: Mr. Sanjay  Rastogi
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:182, Labels: Executive, Name: Mr. Shailesh  Solkar
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:183, Labels: Executive, Name: Damani  Madhulika
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:184, Labels: Executive, Name: Mr. Ratul  Neogi
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:185, Labels: Company, Name: UltraTech Cement Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:186, Labels: Executive, Name: Mr. Kailash Chandra Jhanwar B.Com, C.S (Inter), FCA
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:187, Labels: Executive, Name: Mr. Atul  Daga
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:188, Labels: Executive, Name: Mr. Pramod  Rajgaria
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:189, Labels: Executive, Name: Mr. Mukesh B. Agarwal
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:190, Labels: Executive, Name: Mr. Sanjeeb Kumar Chatterjee
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:191, Labels: Executive, Name: Mr. Vivek  Agrawal B.Tech., M.B.A.
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:192, Labels: Executive, Name: Mr. Chandrashekhar  Chavan
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:193, Labels: Executive, Name: Mr. E. R. Raj Narayanan
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:194, Labels: Executive, Name: Mr. Ashish  Dwivedi
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:195, Labels: Company, Name: Wipro Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:196, Labels: Executive, Name: Mr. Rishad Azim Hasham Premji Jr.
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:197, Labels: Executive, Name: Ms. Aparna C. Iyer
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:198, Labels: Executive, Name: Mr. Srinivas  Pallia
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:199, Labels: Executive, Name: Mr. Saurabh  Govil
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:200, Labels: Executive, Name: Mr. Nagendra P. Bandaru
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:201, Labels: Executive, Name: Ms. Suzanne  Dann
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:202, Labels: Executive, Name: Mr. Jo  Debecker
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:203, Labels: Executive, Name: Mr. Malay  Joshi
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:204, Labels: Executive, Name: Mr. Sanjeev  Jain
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:205, Labels: Executive, Name: Mr. Omkar Bhalchandra Nisal
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:206, Labels: Risk, Name: N/A
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:207, Labels: Chunk, Name: Nestlé India Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:208, Labels: Chunk, Name: NTPC Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:209, Labels: Chunk, Name: Oil and Natural Gas Corporation Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:210, Labels: Chunk, Name: Power Grid Corporation of India Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:211, Labels: Chunk, Name: Reliance Industries Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:212, Labels: Chunk, Name: SBI Life Insurance Company Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:213, Labels: Chunk, Name: State Bank of India
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:214, Labels: Chunk, Name: Shriram Finance Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:215, Labels: Chunk, Name: Sun Pharmaceutical Industries Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:216, Labels: Chunk, Name: Tata Consumer Products Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:217, Labels: Chunk, Name: Tata Motors Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:218, Labels: Chunk, Name: Tata Steel Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:219, Labels: Chunk, Name: Tata Consultancy Services Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:220, Labels: Chunk, Name: Tech Mahindra Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:221, Labels: Chunk, Name: Titan Company Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:222, Labels: Chunk, Name: Trent Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:223, Labels: Chunk, Name: UltraTech Cement Limited
Node ID: 4:b16b6424-92e8-4379-8195-c43829d35b7a:224, Labels: Chunk, Name: Wipro Limited
